sn	mu_obs	err_mu_obs	zcmb	mass_best	mass_low	mass_hhigh	sample
CSP13aaq	37.098	0.156	0.0598	11.5	11.5	11.5	CSPII
CSP13aay	37.193	0.158	0.0588	11.5	11.5	11.5	CSPII
CSP13abl	36.458	0.194	0.0406	8.91	8.9	9.04	CSPII
CSP13abm	35.571	0.188	0.0275	11.5	11.5	11.5	CSPII
CSP13abs	37.439	0.155	0.0783	6.36	6.23	6.48	CSPII
CSP14aaq	35.74	0.175	0.0362	11.08	11.01	11.48	CSPII
CSP14aar	36.147	0.167	0.0424	9.07	8.9	9.42	CSPII
CSP14abn	34.729	0.201	0.0233	9.75	9.59	10.24	CSPII
CSP14acl	35.89	0.185	0.0289	11.5	11.5	11.5	CSPII
CSP14acy	36.477	0.156	0.066	8.19	7.86	8.33	CSPII
CSP14adc	35.446	0.179	0.0317	10.81	10.67	11.14	CSPII
CSP14ade	36.898	0.157	0.0626	10.49	10.33	10.97	CSPII
CSP15B	34.49	0.213	0.0208	10.95	10.78	11.42	CSPII
CSP15aae	34.174	0.082	0.017	11.14	11.06	11.22	N/A
KISS13j	37.492	0.157	0.0776	9.83	9.65	10.21	CSPII
KISS13l	38.706	0.272	0.133	8.69	8.32	8.85	CSPII
KISS13v	37.84	0.153	0.0962	11.5	11.5	11.5	CSPII
KISS15m	35.199	0.199	0.0254	9.78	9.67	9.94	CSPII
KISS15n	34.423	0.199	0.024	8.0	7.8	8.17	CSPII
LSQ11bk	36.301	0.168	0.04	6.53	6.5	6.59	CSPII
LSQ11ot	35.707	0.187	0.0273	10.17	10.0	10.22	CSPII
LSQ11pn	35.392	0.178	0.0327	10.7	10.52	10.8	CSPII
LSQ12agq	37.274	0.191	0.0654	9.3	9.29	9.43	CSPII
LSQ12aor	38.169	0.154	0.0946	9.85	9.67	10.15	CSPII
LSQ12bld	37.665	0.152	0.0843	10.55	10.42	10.64	CSPII
LSQ12btn	36.796	0.158	0.0553	10.9	10.84	10.94	CSPII
LSQ12ca	38.032	0.187	0.0995	10.44	10.34	10.64	CSPII
LSQ12cda	38.734	0.269	0.1384	9.82	9.69	9.98	CSPII
LSQ12cdl	38.317	0.187	0.109	8.81	8.79	8.93	CSPII
LSQ12fuk	34.668	0.215	0.0206	8.34	8.2	8.45	CSPII
LSQ12fvl	36.789	0.158	0.056	10.74	10.55	10.93	CSPII
LSQ12fxd	35.405	0.179	0.0313	10.28	10.16	10.4	CSPII
LSQ12gdj	35.131	0.183	0.0293	8.66	8.36	8.76	CSPII
LSQ12gef	37.162	0.19	0.0632	11.5	11.5	11.5	CSPII
LSQ12gln	38.262	0.151	0.1022	8.75	8.6	9.07	CSPII
LSQ12gxj	36.262	0.173	0.0346	9.18	9.06	9.31	CSPII
LSQ12gyc	38.039	0.158	0.0925	11.5	11.5	11.5	CSPII
LSQ12gzm	38.381	0.157	0.0994	11.5	11.5	11.5	CSPII
LSQ12hjm	37.359	0.152	0.0708	10.09	9.93	10.25	CSPII
LSQ12hno	36.69	0.162	0.0468	7.7	7.64	7.9	CSPII
LSQ12hnr	38.704	0.215	0.1255	8.05	7.93	8.16	CSPII
LSQ12hvj	37.407	0.156	0.0724	9.05	8.79	9.22	CSPII
LSQ12hxx	37.263	0.161	0.0689	10.45	10.28	10.58	CSPII
LSQ12hzj	35.657	0.173	0.0346	9.35	9.32	9.73	CSPII
LSQ12hzs	37.457	0.155	0.0718	10.02	9.88	10.42	CSPII
LSQ13abo	37.2	0.158	0.0681	10.31	10.04	10.34	CSPII
LSQ13aiz	32.459	0.347	0.0102	8.24	8.12	8.34	CSPII
LSQ13cwp	37.15	0.158	0.0662	10.54	10.39	10.7	CSPII
LSQ13dby	38.39	0.152	0.0996	11.5	11.5	11.5	CSPII
LSQ13dcy	37.653	0.156	0.0801	9.18	9.01	9.34	CSPII
LSQ13dhj	38.071	0.157	0.0929	8.63	8.27	8.78	CSPII
LSQ13dkp	37.335	0.154	0.0685	10.8	10.61	10.92	CSPII
LSQ13dpm	36.736	0.158	0.0521	9.17	9.06	9.6	CSPII
LSQ13dqh	38.391	0.155	0.1035	11.5	11.5	11.5	CSPII
LSQ13dsm	36.135	0.165	0.042	9.01	8.85	9.14	CSPII
LSQ13lq	37.328	0.156	0.0765	8.44	8.0	8.63	CSPII
LSQ13pf	37.715	0.19	0.087	10.26	10.14	10.44	CSPII
LSQ13ry	35.565	0.18	0.031	9.64	9.54	9.7	CSPII
LSQ13vy	36.31	0.165	0.0421	10.17	10.15	10.33	CSPII
LSQ14act	37.046	0.156	0.0595	10.17	10.07	10.61	CSPII
LSQ14age	37.717	0.154	0.0816	8.42	8.33	8.59	CSPII
LSQ14ahc	36.558	0.159	0.0518	9.13	8.89	9.62	CSPII
LSQ14ahm	36.591	0.16	0.051	8.2	8.03	8.37	CSPII
LSQ14ajn	34.746	0.206	0.0222	10.11	9.95	10.3	CSPII
LSQ14asu	37.579	0.154	0.0696	10.67	10.51	10.86	CSPII
LSQ14auy	37.821	0.155	0.0832	10.74	10.61	11.19	CSPII
LSQ14azy	36.505	0.192	0.0469	9.94	9.75	10.1	CSPII
LSQ14ba	37.586	0.152	0.0788	9.47	9.3	9.87	CSPII
LSQ14bbv	36.943	0.156	0.0584	11.02	10.9	11.14	CSPII
LSQ14bjj	37.657	0.151	0.082	8.46	8.3	8.91	CSPII
LSQ14fms	37.384	0.154	0.0773	10.11	10.0	10.49	CSPII
LSQ14foj	36.243	0.163	0.0452	8.44	8.33	8.7	CSPII
LSQ14fom	36.629	0.158	0.0553	9.54	9.4	9.72	CSPII
LSQ14gfb	36.705	0.191	0.0528	10.3	10.11	10.64	CSPII
LSQ14gfn	38.482	0.202	0.1211	10.54	10.42	10.88	CSPII
LSQ14ghv	37.37	0.154	0.0663	10.18	10.06	10.31	CSPII
LSQ14gov	37.849	0.15	0.0892	9.02	8.85	9.19	CSPII
LSQ14ie	38.02	0.153	0.0905	8.08	7.95	8.21	CSPII
LSQ14ip	37.117	0.158	0.0624	10.18	10.01	10.31	CSPII
LSQ14jp	36.463	0.162	0.0465	10.54	10.48	10.81	CSPII
LSQ14mc	36.848	0.156	0.0576	9.17	9.16	9.43	CSPII
LSQ14q	37.223	0.153	0.0679	9.32	8.92	9.42	CSPII
LSQ14wp	37.179	0.155	0.0706	7.48	7.23	7.59	CSPII
LSQ14xi	36.684	0.16	0.0519	10.9	10.77	11.07	CSPII
LSQ15aae	36.689	0.159	0.0518	10.27	10.1	10.46	CSPII
LSQ15agh	36.917	0.156	0.061	9.87	9.72	9.99	CSPII
LSQ15aja	37.285	0.154	0.07	7.46	7.34	7.58	CSPII
LSQ15alq	36.24	0.16	0.0481	10.4	10.22	10.82	CSPII
LSQ15bv	37.231	0.154	0.0701	10.56	10.39	10.77	CSPII
PS1-14ra	35.236	0.184	0.0288	10.65	10.35	10.72	CSPII
PS1-14rx	37.398	0.16	0.068	9.89	9.77	10.06	CSPII
PS1-14xw	34.803	0.196	0.0246	11.24	11.11	11.71	CSPII
PS15sv	35.393	0.175	0.0336	8.31	8.2	8.56	CSPII
PTF11pbp	35.255	0.187	0.0277	10.88	10.73	10.97	CSPII
PTF11ppn	36.828	0.263	0.0662	11.02	10.96	11.06	CSPII
PTF11pra	34.138	0.257	0.0167	10.68	10.57	10.75	CSPII
PTF11qnr	33.88	0.26	0.015	10.65	10.38	10.7	CSPII
PTF13anh	37.202	0.156	0.0625	7.48	7.29	7.66	CSPII
PTF13duj	34.117	0.252	0.0159	10.73	10.61	10.82	CSPII
PTF13dwl	37.723	0.161	0.0864	8.74	8.42	8.98	CSPII
PTF13ebh	33.363	0.082	0.0125	10.86	10.809999999999999	10.91	N/A
PTF13efe	37.532	0.154	0.0758	11.5	11.5	11.5	CSPII
PTF13ez	36.04	0.167	0.0445	9.71	9.52	9.84	CSPII
PTF14aaf	36.99	0.157	0.0596	11.5	11.5	11.5	CSPII
PTF14aje	35.306	0.185	0.0282	10.78	10.64	10.84	CSPII
PTF14fpg	35.963	0.177	0.0328	11.5	11.5	11.5	CSPII
PTF14gnl	36.599	0.158	0.0525	10.06	9.86	10.5	CSPII
PTF14uo	37.971	0.153	0.0922	9.0	8.86	9.48	CSPII
PTF14w	34.693	0.217	0.0201	9.14	8.96	9.3	CSPII
PTF14yy	36.465	0.164	0.0441	9.41	9.25	9.52	CSPII
SN1995D	32.462	0.088	0.0077	10.597	10.527999999999999	10.666	N/A
SN1997E	33.838	0.096	0.0135	11.199	11.129999999999999	11.268	N/A
SN1999ej	34.155	0.086	0.0128	10.99	10.897	11.083	N/A
SN2000cx	32.197	0.092	0.0069	10.929	10.84	11.018	N/A
SN2002cs	33.961	0.094	0.0153	11.324	11.229	11.419	N/A
SN2002ha	33.695	0.097	0.0131	11.021	10.915000000000001	11.127	N/A
SN2003hv	31.463	0.118	0.0051	10.565	10.504999999999999	10.625	N/A
SN2004ef	35.43	0.181	0.0298	10.74	10.63	10.8	CSPI
SN2004eo	33.789	0.263	0.0147	11.16	11.03	11.35	CSPI
SN2004ey	33.92	0.264	0.0146	10.06	9.76	10.41	CSPI
SN2004gs	35.32	0.185	0.0283	10.63	10.57	10.7	CSPI
SN2004gu	36.263	0.164	0.0469	10.02	9.74	10.19	CSPI
SN2005A	34.228	0.23	0.0183	11.19	11.07	11.26	CSPI
SN2005M	34.97	0.192	0.0256	8.8	8.38	8.92	CSPI
SN2005W	32.652	0.431	0.008	9.9	9.75	10.0	CSPI
SN2005ag	37.618	0.152	0.0801	10.9	10.84	10.95	CSPI
SN2005al	33.977	0.283	0.0133	10.49	10.4	10.63	CSPI
SN2005am	32.284	0.388	0.009	10.83	10.68	11.26	CSPI
SN2005be	35.696	0.199	0.0356	10.4	10.25	10.5	CSPI
SN2005bg	34.876	0.225	0.0242	9.91	9.72	10.02	CSPI
SN2005bl	35.192	0.201	0.0251	11.01	10.89	11.2	CSPI
SN2005bo	33.736	0.26	0.015	10.5	10.34	10.65	CSPI
SN2005el	33.96	0.262	0.0149	10.84	10.7	11.24	CSPI
SN2005eq	35.425	0.185	0.0284	10.56	10.44	10.65	CSPI
SN2005hc	36.467	0.163	0.0445	10.6	10.52	10.65	CSPI
SN2005hj	36.803	0.163	0.057	9.32	9.22	9.38	CSPI
SN2005iq	35.77	0.176	0.0329	10.54	10.47	10.6	CSPI
SN2005ir	37.326	0.154	0.0752	9.23	9.12	9.37	CSPI
SN2005kc	33.736	0.275	0.0139	11.06	10.6	11.5	CSPI
SN2005ke	31.658	0.735	0.0045	10.43	10.29	10.61	CSPI
SN2005ki	34.499	0.215	0.0204	10.8	10.62	10.86	CSPI
SN2005ku	36.284	0.206	0.0442	10.04	9.96	10.1	CSPI
SN2005lu	35.612	0.208	0.0313	9.86	9.68	10.03	CSPI
SN2005mc	35.039	0.216	0.026	10.95	10.85	11.1	CSPI
SN2005na	34.996	0.191	0.0268	10.97	10.9	11.05	CSPI
SN2006D	32.785	0.365	0.0096	9.76	9.54	9.85	CSPI
SN2006X	30.743	0.531	0.0063	9.33	9.06	9.43	CSPI
SN2006ax	34.197	0.231	0.018	10.92	10.79	11.04	CSPI
SN2006bd	35.279	0.197	0.0268	10.77	10.6	10.8	CSPI
SN2006bh	33.235	0.34	0.0105	10.43	10.31	10.49	CSPI
SN2006br	35.293	0.235	0.0255	10.97	10.87	11.36	CSPI
SN2006ef	34.424	0.156	0.017	10.35	10.17	10.53	N/A
SN2006ej	34.58	0.24	0.0193	10.63	10.48	10.7	CSPI
SN2006eq	36.431	0.195	0.0484	10.19	9.79	10.65	CSPI
SN2006et	34.632	0.209	0.0216	10.8	10.7	10.88	CSPI
SN2006ev	35.538	0.215	0.0276	10.75	10.65	10.91	CSPI
SN2006fw	37.226	0.19	0.082	9.42	9.32	9.62	CSPI
SN2006gj	35.402	0.189	0.027	10.53	10.36	10.6	CSPI
SN2006gt	36.242	0.165	0.0436	9.93	9.87	9.94	CSPI
SN2006hb	33.837	0.273	0.0153	10.22	10.05	10.39	CSPI
SN2006hx	36.028	0.176	0.0444	10.31	10.12	10.44	CSPI
SN2006is	35.372	0.214	0.0314	7.1	6.68	7.41	CSPI
SN2006kf	34.671	0.213	0.0208	10.82	10.59	10.9	CSPI
SN2006lu	36.657	0.185	0.0544	10.29	10.22	10.37	CSPI
SN2006mr	31.79	0.605	0.0055	11.19	10.79	11.38	CSPI
SN2006ob	36.743	0.157	0.0583	11.26	11.08	11.33	CSPI
SN2006os	35.509	0.203	0.0321	10.81	10.66	10.87	CSPI
SN2006py	36.664	0.16	0.0566	9.1	8.94	9.24	CSPI
SN2007A	34.124	0.245	0.0165	10.57	10.57	10.57	CSPI
SN2007N	34.01	0.275	0.014	10.19	10.1	10.57	CSPI
SN2007S	33.78	0.26	0.015	9.98	9.63	10.16	CSPI
SN2007ai	35.601	0.18	0.032	9.91	9.76	10.18	CSPI
SN2007al	33.907	0.286	0.0133	9.47	9.33	9.91	CSPI
SN2007as	34.274	0.232	0.0179	10.36	10.24	10.43	CSPI
SN2007ax	32.859	0.449	0.0076	10.23	10.13	10.29	CSPI
SN2007ba	35.475	0.17	0.0391	10.99	10.9	11.06	CSPI
SN2007bc	34.632	0.208	0.0218	10.73	10.65	10.78	CSPI
SN2007bd	35.529	0.179	0.0318	10.82	10.68	10.89	CSPI
SN2007bm	31.983	0.458	0.0074	10.27	10.09	10.72	CSPI
SN2007ca	34.082	0.26	0.0151	9.69	9.52	9.74	CSPI
SN2007cg	35.278	0.226	0.0342	10.37	10.33	10.43	CSPI
SN2007hj	33.744	0.29	0.0129	10.45	10.3	10.89	CSPI
SN2007hx	37.568	0.191	0.0789	10.55	10.45	10.62	CSPI
SN2007jd	37.478	0.197	0.0719	10.13	9.93	10.18	CSPI
SN2007jg	36.141	0.171	0.0366	8.1	7.95	8.22	CSPI
SN2007jh	36.244	0.172	0.0403	10.99	10.89	11.04	CSPI
SN2007le	32.102	0.602	0.0055	9.85	9.71	10.16	CSPI
SN2007mm	37.189	0.162	0.0689	11.36	11.36	11.36	CSPI
SN2007nq	36.08	0.164	0.0439	11.21	11.15	11.28	CSPI
SN2007on	31.414	0.542	0.0062	11.04	10.78	11.45	CSPI
SN2007st	34.202	0.245	0.0207	10.95	10.85	11.4	CSPI
SN2007ux	35.545	0.177	0.032	10.3	10.23	10.34	CSPI
SN2008C	34.095	0.264	0.0171	10.49	10.35	10.55	CSPI
SN2008L	34.356	0.114	0.0189	10.888	10.768	11.008	N/A
SN2008O	35.909	0.169	0.0393	11.33	11.12	11.59	CSPI
SN2008R	33.605	0.082	0.0129	11.25	11.13	11.37	N/A
SN2008ar	35.18	0.188	0.0272	10.21	10.11	10.28	CSPI
SN2008bc	33.966	0.252	0.0157	10.1	9.95	10.23	CSPI
SN2008bf	34.9	0.196	0.0246	11.4	11.4	11.4	CSPI
SN2008bi	34.016	0.314	0.0144	10.38	10.27	10.48	CSPI
SN2008bq	35.665	0.175	0.0344	10.82	10.74	10.91	CSPI
SN2008bt	33.961	0.244	0.0166	10.85	10.7	10.91	CSPI
SN2008bz	37.114	0.184	0.0613	10.5	10.44	10.56	CSPI
SN2008cc	32.775	0.363	0.0101	10.48	10.4	10.64	CSPI
SN2008cd	32.578	0.511	0.0085	9.54	9.43	9.64	CSPI
SN2008cf	36.275	0.194	0.0468	8.73	8.59	8.97	CSPI
SN2008ff	34.165	0.228	0.0187	10.8	10.8	10.8	CSPI
SN2008fl	34.332	0.238	0.0194	10.94	10.87	11.01	CSPI
SN2008fp	31.552	0.534	0.0063	10.2	10.15	10.63	CSPI
SN2008fr	35.966	0.199	0.0379	7.73	7.58	7.92	CSPI
SN2008fu	36.663	0.2	0.0518	10.72	10.66	10.8	CSPI
SN2008fw	32.922	0.383	0.0095	10.49	10.31	10.61	CSPI
SN2008gg	35.341	0.204	0.0311	10.73	10.63	10.82	CSPI
SN2008gl	35.629	0.176	0.0329	10.86	10.81	10.92	CSPI
SN2008go	36.917	0.157	0.0613	10.94	10.89	11.0	CSPI
SN2008gp	35.523	0.176	0.0328	10.73	10.64	10.79	CSPI
SN2008hj	35.86	0.17	0.0367	10.4	10.2	10.69	CSPI
SN2008hs	34.564	0.099	0.0166	11.504	11.401	11.607	N/A
SN2008hu	36.632	0.192	0.0505	10.99	10.84	11.07	CSPI
SN2008hv	33.759	0.085	0.0136	10.55	10.370000000000001	10.73	N/A
SN2008ia	34.828	0.197	0.0225	10.77	10.27	11.27	N/A
SN2009D	34.911	0.196	0.0247	10.43	10.35	10.5	CSPI
SN2009F	33.899	0.293	0.0129	10.79	10.61	11.22	CSPI
SN2009I	35.146	0.203	0.0254	10.74	10.53	10.88	CSPI
SN2009P	35.053	0.205	0.0263	9.87	9.77	9.95	CSPI
SN2009Y	32.825	0.352	0.0101	10.76	10.66	10.95	CSPI
SN2009aa	35.201	0.185	0.0285	10.6	10.1	10.8	CSPI
SN2009ab	33.444	0.331	0.0109	10.35	10.2	10.78	CSPI
SN2009ad	35.176	0.187	0.0283	10.58	10.5	10.64	CSPI
SN2009ag	33.024	0.379	0.0092	10.2	9.99	10.6	CSPI
SN2009al	34.541	0.207	0.0233	10.72	10.66	10.77	CSPI
SN2009cz	34.738	0.208	0.022	10.75	10.68	10.84	CSPI
SN2009ds	34.314	0.217	0.0205	10.77	10.62	10.97	CSPI
SN2009le	34.123	0.24	0.017	10.84	10.66	11.31	CSPI
SN2010Y	33.609	0.091	0.0113	10.58	10.474	10.686	N/A
SN2011iy	30.67	0.623	0.0053	10.39	10.21	10.83	CSPII
SN2011jh	32.739	0.39	0.0089	10.09	10.02	10.16	CSPII
SN2011jn	36.385	0.198	0.0485	11.35	11.23	11.78	CSPII
SN2011jt	35.216	0.22	0.0285	10.39	10.25	10.52	CSPII
SN2012E	34.462	0.221	0.0194	10.54	10.36	10.73	CSPII
SN2012G	35.237	0.189	0.0268	9.73	9.58	9.84	CSPII
SN2012U	34.312	0.247	0.0193	10.56	10.38	10.74	CSPII
SN2012ah	33.57	0.316	0.0124	11.5	11.5	11.5	CSPII
SN2012aq	36.558	0.183	0.0526	7.77	7.63	8.01	CSPII
SN2012ar	35.21	0.184	0.0285	10.94	10.84	11.02	CSPII
SN2012bl	34.36	0.231	0.0182	10.09	9.85	10.24	CSPII
SN2012bo	35.212	0.19	0.0265	10.32	10.15	10.4	CSPII
SN2012gm	33.722	0.279	0.0136	10.01	9.9	10.08	CSPII
SN2012hd	33.398	0.324	0.0111	10.44	10.38	10.54	CSPII
SN2012hl	35.799	0.18	0.0319	7.31	7.18	7.46	CSPII
SN2012hr	32.646	0.435	0.0079	10.32	10.21	10.45	CSPII
SN2012id	33.869	0.28	0.0155	10.01	9.85	10.16	CSPII
SN2012ij	33.565	0.305	0.0121	9.94	9.8	10.11	CSPII
SN2013E	32.715	0.341	0.0105	9.96	9.83	9.99	CSPII
SN2013H	34.145	0.25	0.0159	10.5	10.32	10.6	CSPII
SN2013M	35.517	0.172	0.0357	10.9	10.73	11.04	CSPII
SN2013U	35.558	0.173	0.0357	10.27	10.15	10.31	CSPII
SN2013aa	30.347	0.707	0.0047	9.99	9.85	10.12	CSPII
SN2013ad	35.445	0.172	0.0359	11.5	11.5	11.5	CSPII
SN2013aj	32.817	0.352	0.0101	9.99	9.82	10.38	CSPII
SN2013as	37.419	0.181	0.0696	8.59	8.43	8.95	CSPII
SN2013ay	33.564	0.275	0.0157	10.72	10.64	10.82	CSPII
SN2013az	35.735	0.199	0.0375	10.99	10.93	11.07	CSPII
SN2013bc	34.781	0.222	0.0235	10.47	10.28	10.55	CSPII
SN2013bz	34.083	0.218	0.0202	9.98	9.94	10.04	CSPII
SN2013cg	32.633	0.403	0.009	10.13	9.98	10.27	CSPII
SN2013ct	30.671	1.189	0.0027	8.72	8.57	8.89	CSPII
SN2013fy	35.372	0.182	0.0302	10.86	10.77	10.96	CSPII
SN2013fz	34.45	0.214	0.0206	10.69	10.61	10.77	CSPII
SN2013gv	35.676	0.176	0.0335	11.27	11.16	11.56	CSPII
SN2013gy	33.557	0.279	0.0136	9.0	8.98	9.16	CSPII
SN2013hh	34.267	0.292	0.0141	9.59	9.41	9.69	CSPII
SN2013hn	33.953	0.269	0.016	10.99	10.84	11.07	CSPII
SN2014D	34.229	0.392	0.0092	8.26	8.15	8.38	CSPII
SN2014I	35.198	0.18	0.0302	10.9	10.76	11.31	CSPII
SN2014Z	34.556	0.233	0.0209	10.75	10.66	10.81	CSPII
SN2014ao	33.92	0.26	0.015	10.57	10.47	10.74	CSPII
SN2014at	35.409	0.178	0.0315	11.25	11.08	11.4	CSPII
SN2014ba	31.838	0.675	0.005	10.64	10.56	11.06	CSPII
SN2014dl	35.119	0.176	0.0331	9.48	9.19	9.68	CSPII
SN2014dn	34.579	0.206	0.0221	10.65	10.58	10.72	CSPII
SN2014eg	33.855	0.23	0.0183	11.62	11.47	11.73	CSPII
SN2015bp	32.324	0.08	0.0047	9.979	9.841999999999999	10.116	N/A
SN2016ajf	34.229	0.137	0.0198	11.436	11.32	11.552	N/A
SN2019ein	32.915	0.108	0.0084	11.484	11.404	11.564	N/A
SNhunt281	32.282	0.701	0.0047	9.75	9.66	9.85	CSPII
